"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","question_order","view_history","success","timeout","failed_images","failed_audio","failed_video","stimulus","block","block_rep","trial_number","jar","bead","previous_bead","choice","correct","lowH_score","total_bonus"
"pavlovia","0","1086","0.0-0.0","5bed01c8306ec30001fb80e2","6662009ae78f21dd82fcd179","66620ab74a9e6c43497fb90a","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","7150","0.0-1.0-0.0","5bed01c8306ec30001fb80e2","6662009ae78f21dd82fcd179","66620ab74a9e6c43497fb90a","5931","new_consent.html","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","2","12365","0.0-1.0-1.0","5bed01c8306ec30001fb80e2","6662009ae78f21dd82fcd179","66620ab74a9e6c43497fb90a","5213","","{""Q0"":""Female"",""Q1"":""White""}","[0,1]","","","","","","","","","","","","","","","","",""
"survey-text","3","15519","0.0-1.0-2.0","5bed01c8306ec30001fb80e2","6662009ae78f21dd82fcd179","66620ab74a9e6c43497fb90a","3149","","{""Q0"":""40""}","","","","","","","","","","","","","","","","","",""
"instructions","4","16843","0.0-2.0","5bed01c8306ec30001fb80e2","6662009ae78f21dd82fcd179","66620ab74a9e6c43497fb90a","1221","","","","[{""page_index"":0,""viewing_time"":1221}]","","","","","","","","","","","","","","","",""
"preload","5","18039","0.0-3.0-0.0","5bed01c8306ec30001fb80e2","6662009ae78f21dd82fcd179","66620ab74a9e6c43497fb90a","","","","","","true","false","[]","[]","[]","","","","","","","","","","",""
"instructions","6","195134","0.0-3.0-1.0","5bed01c8306ec30001fb80e2","6662009ae78f21dd82fcd179","66620ab74a9e6c43497fb90a","177087","","","","[{""page_index"":0,""viewing_time"":59712},{""page_index"":1,""viewing_time"":9510},{""page_index"":2,""viewing_time"":26442},{""page_index"":3,""viewing_time"":1388},{""page_index"":4,""viewing_time"":4522},{""page_index"":5,""viewing_time"":23844},{""page_index"":6,""viewing_time"":8196},{""page_index"":7,""viewing_time"":14656},{""page_index"":8,""viewing_time"":3788},{""page_index"":9,""viewing_time"":6972},{""page_index"":10,""viewing_time"":16412},{""page_index"":11,""viewing_time"":1646}]","","","","","","","","","","","","","","","",""
"html-button-response","7","197709","0.0-3.0-2.0-0.0-0.0","5bed01c8306ec30001fb80e2","6662009ae78f21dd82fcd179","66620ab74a9e6c43497fb90a","2574","","1","","","","","","","","<div align=center>Your goal is to predict…?<br><br></div>","","","","","","","","","",""
"html-button-response","8","205488","0.0-3.0-2.0-1.0-0.0","5bed01c8306ec30001fb80e2","6662009ae78f21dd82fcd179","66620ab74a9e6c43497fb90a","4834","","2","","","","","","","","<div align=center>In the jar with mostly white beads, there are ___% white beads and ___% black beads?<br><br></div>","","","","","","","","","",""
"html-button-response","9","209916","0.0-3.0-2.0-2.0-0.0","5bed01c8306ec30001fb80e2","6662009ae78f21dd82fcd179","66620ab74a9e6c43497fb90a","3475","","0","","","","","","","","<div align=center>When there is a 1% probability that the jars will switch, the next bead will most likely be drawn from the…<br><br></div>","","","","","","","","","",""
