Age,Gender,Ethnicity
40.0,Female,Hispanic or Latino
33.0,Female,White
47.0,Female,White
60.0,Female,Black or African American
18.0,Female,Black or African American
34.0,Male,Other
54.0,Female,White
32.0,Female,White
22.0,Female,White
33.0,Male,Do Not Wish to Respond
32.0,Male,Hispanic or Latino
27.0,Female,Hispanic or Latino
43.0,Female,White
31.0,Non-binary,White
32.0,Female,Asian
23.0,Male,Asian
27.0,Male,White
43.0,Transgender Female,Asian
44.0,Male,Black or African American
36.0,Male,White
24.0,Male,White
23.0,Female,White
55.0,Female,White
53.0,Female,Black or African American
40.0,Female,White
33.0,Male,White
25.0,Non-binary,White
36.0,Male,Hispanic or Latino
22.0,Gender not listed,Other
35.0,Female,White
19.0,Non-binary,Black or African American
59.0,Male,White
27.0,Female,Asian
23.0,Male,White
42.0,Female,Hispanic or Latino
24.0,Female,White
23.0,Female,Black or African American
24.0,Female,White
25.0,Female,White
39.0,Male,White
27.0,Female,White
36.0,Female,White
28.0,Female,Black or African American
41.0,Male,White
54.0,Female,White
34.0,Female,White
51.0,Female,White
50.0,Female,White
37.0,Male,White
48.0,Male,White
35.0,Male,American Indian or Alaskan Native
40.0,Female,White
34.0,Male,White
37.0,Male,Hispanic or Latino
35.0,Female,White
54.0,Female,White
25.0,Female,White
46.0,Male,White
42.0,Female,Black or African American
57.0,Female,White
48.0,Male,Black or African American
51.0,Female,White
42.0,Female,White
5.0,Male,White
39.0,Male,White
49.0,Female,White
21.0,Female,White
21.0,Male,Black or African American
31.0,Female,White
35.0,Male,Black or African American
