strategy,X,posterior_prob
fully-optimal,0.0,0.9965848994894276
1-back,0.0,0.8
fully-optimal,1.0,0.9957265165185594
1-back,1.0,0.8
fully-optimal,2.0,0.9956566360647352
1-back,2.0,0.8
fully-optimal,3.0,0.9844228326838915
1-back,3.0,0.8
fully-optimal,4.0,0.9955014731037154
1-back,4.0,0.8
fully-optimal,5.0,0.9826355758005783
1-back,5.0,0.8
fully-optimal,6.0,0.9816491675473824
1-back,6.0,0.8
fully-optimal,7.0,0.8890401346436781
1-back,7.0,0.8
fully-optimal,8.0,0.9949137462937252
1-back,8.0,0.8
fully-optimal,9.0,0.9815826716612439
1-back,9.0,0.8
fully-optimal,10.0,0.9805246791863484
1-back,10.0,0.8
fully-optimal,11.0,0.8503647321043936
1-back,11.0,0.8
fully-optimal,12.0,0.9781897637794965
1-back,12.0,0.8
fully-optimal,13.0,0.8350553203267947
1-back,13.0,0.8
fully-optimal,15.0,0.5660704987286405
1-back,15.0,0.8
fully-optimal,16.0,0.9925774696620573
1-back,16.0,0.8
fully-optimal,17.0,0.9791829441614699
1-back,17.0,0.8
fully-optimal,18.0,0.9781104339362048
1-back,18.0,0.8
fully-optimal,19.0,0.8344895233042497
1-back,19.0,0.8
fully-optimal,20.0,0.9757384932561037
1-back,20.0,0.8
fully-optimal,22.0,0.8060785293159621
1-back,22.0,0.8
fully-optimal,24.0,0.966870742557209
1-back,24.0,0.8
fully-optimal,25.0,0.8054248330584193
1-back,25.0,0.8
fully-optimal,26.0,0.7951874828291755
1-back,26.0,0.8
fully-optimal,27.0,0.35490127825412005
1-back,27.0,0.8
fully-optimal,29.0,0.33782199358956766
1-back,29.0,0.8
fully-optimal,30.0,0.3298318149475171
1-back,30.0,0.8
fully-optimal,31.0,0.21326436978237115
1-back,31.0,0.8
fully-optimal,32.0,0.9833400675108732
1-back,32.0,0.8
fully-optimal,33.0,0.9701577801160401
1-back,33.0,0.8
fully-optimal,34.0,0.9690997724601299
1-back,34.0,0.8
fully-optimal,35.0,0.8239958491493735
1-back,35.0,0.8
fully-optimal,36.0,0.9667585898357455
1-back,36.0,0.8
fully-optimal,39.0,0.35410138160436916
1-back,39.0,0.8
fully-optimal,40.0,0.9579897503586013
1-back,40.0,0.8
fully-optimal,41.0,0.7937796817330108
1-back,41.0,0.8
fully-optimal,45.0,0.2636615148152821
1-back,45.0,0.8
fully-optimal,47.0,0.10686261984068984
1-back,47.0,0.8
fully-optimal,48.0,0.924613819150833
1-back,48.0,0.8
fully-optimal,50.0,0.7596389142060377
1-back,50.0,0.8
fully-optimal,52.0,0.7379081132352439
1-back,52.0,0.8
fully-optimal,54.0,0.23089125312879788
1-back,54.0,0.8
fully-optimal,55.0,0.07561137941834963
1-back,55.0,0.8
fully-optimal,58.0,0.22041904119630953
1-back,58.0,0.8
fully-optimal,59.0,0.06742662317254408
1-back,59.0,0.8
fully-optimal,61.0,0.0652431986252823
1-back,61.0,0.8
fully-optimal,62.0,0.0642567343131705
1-back,62.0,0.8
fully-optimal,63.0,0.051978910131234415
1-back,63.0,0.8
fully-optimal,64.0,0.9480210898687657
1-back,64.0,0.19999999999999996
fully-optimal,65.0,0.9357432656868294
1-back,65.0,0.19999999999999996
fully-optimal,66.0,0.9347568013747176
1-back,66.0,0.19999999999999996
fully-optimal,67.0,0.7979709318918384
1-back,67.0,0.19999999999999996
fully-optimal,68.0,0.9325733768274559
1-back,68.0,0.19999999999999996
fully-optimal,69.0,0.7795809588036902
1-back,69.0,0.19999999999999996
fully-optimal,71.0,0.33367392604336765
1-back,71.0,0.19999999999999996
fully-optimal,72.0,0.9243886205816503
1-back,72.0,0.19999999999999996
fully-optimal,73.0,0.7691087468712018
1-back,73.0,0.19999999999999996
fully-optimal,77.0,0.2403610857939619
1-back,77.0,0.19999999999999996
fully-optimal,78.0,0.23012346394897912
1-back,78.0,0.19999999999999996
fully-optimal,79.0,0.07538618084916703
1-back,79.0,0.19999999999999996
fully-optimal,80.0,0.8931373801593101
1-back,80.0,0.19999999999999996
fully-optimal,81.0,0.7461829592381619
1-back,81.0,0.19999999999999996
fully-optimal,82.0,0.7363384851847176
1-back,82.0,0.19999999999999996
fully-optimal,83.0,0.23961288385786625
1-back,83.0,0.19999999999999996
fully-optimal,84.0,0.715391395690168
1-back,84.0,0.19999999999999996
fully-optimal,87.0,0.0420102496413986
1-back,87.0,0.19999999999999996
fully-optimal,90.0,0.1952727944217332
1-back,90.0,0.19999999999999996
fully-optimal,91.0,0.03324141016425443
1-back,91.0,0.19999999999999996
fully-optimal,93.0,0.03090022753986998
1-back,93.0,0.19999999999999996
fully-optimal,94.0,0.029842219883959836
1-back,94.0,0.19999999999999996
fully-optimal,95.0,0.016659932489126755
1-back,95.0,0.19999999999999996
fully-optimal,96.0,0.7867356302176288
1-back,96.0,0.19999999999999996
fully-optimal,98.0,0.662178006410432
1-back,98.0,0.19999999999999996
fully-optimal,99.0,0.22636861396011743
1-back,99.0,0.19999999999999996
fully-optimal,100.0,0.6450987217458796
1-back,100.0,0.19999999999999996
fully-optimal,102.0,0.1945751669415805
1-back,102.0,0.19999999999999996
fully-optimal,103.0,0.03312925744279098
1-back,103.0,0.19999999999999996
fully-optimal,104.0,0.5876683432588374
1-back,104.0,0.19999999999999996
fully-optimal,105.0,0.19392147068403767
1-back,105.0,0.19999999999999996
fully-optimal,106.0,0.1840774974126479
1-back,106.0,0.19999999999999996
fully-optimal,107.0,0.024261506743896235
1-back,107.0,0.19999999999999996
fully-optimal,109.0,0.021889566063795236
1-back,109.0,0.19999999999999996
fully-optimal,110.0,0.02081705583853018
1-back,110.0,0.19999999999999996
fully-optimal,111.0,0.007422530337942699
1-back,111.0,0.19999999999999996
fully-optimal,113.0,0.17293399311134514
1-back,113.0,0.19999999999999996
fully-optimal,115.0,0.02181023622050348
1-back,115.0,0.19999999999999996
fully-optimal,116.0,0.14963526789560616
1-back,116.0,0.19999999999999996
fully-optimal,117.0,0.019475320813651525
1-back,117.0,0.19999999999999996
fully-optimal,118.0,0.018417328338756013
1-back,118.0,0.19999999999999996
fully-optimal,119.0,0.005086253706274784
1-back,119.0,0.19999999999999996
fully-optimal,120.0,0.11095986535632166
1-back,120.0,0.19999999999999996
fully-optimal,121.0,0.018350832452617538
1-back,121.0,0.19999999999999996
fully-optimal,122.0,0.017364424199421715
1-back,122.0,0.19999999999999996
fully-optimal,123.0,0.004498526896284633
1-back,123.0,0.19999999999999996
fully-optimal,124.0,0.015577167316108495
1-back,124.0,0.19999999999999996
fully-optimal,125.0,0.0043433639352648675
1-back,125.0,0.19999999999999996
fully-optimal,126.0,0.004273483481440644
1-back,126.0,0.19999999999999996
fully-optimal,127.0,0.0034151005105723096
1-back,127.0,0.19999999999999996
