Age,Gender,Ethnicity,Race
58.0,Female,Hispanic or Latino,White
36.0,Male,Not Hispanic or Latino,White
24.0,Male,Hispanic or Latino,Black or African American
30.0,Male,Hispanic or Latino,White
23.0,Female,Hispanic or Latino,White
27.0,Male,Not Hispanic or Latino,White
56.0,Male,Not Hispanic or Latino,White
28.0,Female,Not Hispanic or Latino,White
30.0,Female,Not Hispanic or Latino,White
37.0,Male,Not Hispanic or Latino,White
51.0,Male,Not Hispanic or Latino,White
37.0,Female,Not Hispanic or Latino,"White,Black or African American"
40.0,Female,Not Hispanic or Latino,White
30.0,Female,Not Hispanic or Latino,Asian
,Male,Not Hispanic or Latino,White
49.0,Male,Not Hispanic or Latino,White
28.0,Female,Not Hispanic or Latino,White
36.0,Female,Not Hispanic or Latino,White
35.0,Male,Hispanic or Latino,"White,Black or African American,American Indian or Alaska Native"
33.0,Male,Not Hispanic or Latino,Do not wish to say
28.0,Female,Not Hispanic or Latino,White
25.0,Female,Not Hispanic or Latino,Black or African American
36.0,Female,Not Hispanic or Latino,White
47.0,Female,Not Hispanic or Latino,White
30.0,Male,Not Hispanic or Latino,White
43.0,Female,Not Hispanic or Latino,White
32.0,Male,Not Hispanic or Latino,White
18.0,Male,Hispanic or Latino,Black or African American
38.0,Male,Not Hispanic or Latino,White
28.0,Male,Hispanic or Latino,White
28.0,Male,Not Hispanic or Latino,Other
26.0,Male,Not Hispanic or Latino,Black or African American
20.0,Male,Not Hispanic or Latino,Black or African American
21.0,Male,Not Hispanic or Latino,Black or African American
