subject_ID,subject_index,exclude_Ixr,trial_ID,trial_index,observation_1,observation_2,observation_3,observation_4,observation_5,latent_state,optimal_choice,correct,intertrial_duration,trial_start_time,choice,rt,observation_encoding,observation_encoding_ew,observation_encoding_iw
67047fbe4a73fb7c0e482271,30.0,0.0,413.0,0.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,0.848,1875.9838,2.0,0.1026,212.0,23,2.0
67047fbe4a73fb7c0e482271,30.0,0.0,379.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,0.7788,1879.0514,2.0,0.2404,122.0,14,2.0
67047fbe4a73fb7c0e482271,30.0,0.0,489.0,2.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,0.6796,1881.7468,2.0,0.2399,221.0,23,1.0
67047fbe4a73fb7c0e482271,30.0,0.0,273.0,3.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,0.4796,1887.477,1.0,0.3299,2300.0,50,2000.0
67047fbe4a73fb7c0e482271,30.0,0.0,260.0,4.0,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.5325,1890.0343,1.0,0.3432,1400.0,50,1000.0
67047fbe4a73fb7c0e482271,30.0,0.0,467.0,5.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,0.6752,1892.5459,2.0,0.1542,131.0,14,1.0
67047fbe4a73fb7c0e482271,30.0,0.0,196.0,6.0,4.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,3.3166,1894.9961,1.0,0.2558,1310.0,41,1000.0
67047fbe4a73fb7c0e482271,30.0,0.0,430.0,7.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,0.9216,1900.2294,2.0,0.0012,41.0,5,1.0
67047fbe4a73fb7c0e482271,30.0,0.0,354.0,8.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,0.8043,1902.8247,2.0,0.0017,32.0,5,2.0
67047fbe4a73fb7c0e482271,30.0,0.0,159.0,9.0,3.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,0.6299,1905.3015,1.0,0.0375,410.0,41,410.0
67047fbe4a73fb7c0e482271,30.0,0.0,463.0,10.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,0.6657,1907.6469,2.0,0.3992,131.0,14,1.0
67047fbe4a73fb7c0e482271,30.0,0.0,589.0,11.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,0.0,0.8539,1910.3816,1.0,0.0012,320.0,32,320.0
