Age,Gender,Ethnicity,Race
32.0,Male,Not Hispanic or Latino,Asian
34.0,Male,Not Hispanic or Latino,White
29.0,Female,Not Hispanic or Latino,White
47.0,Male,Not Hispanic or Latino,White
33.0,Male,Not Hispanic or Latino,White
24.0,Female,Not Hispanic or Latino,White
64.0,Female,Not Hispanic or Latino,White
35.0,Female,Hispanic or Latino,Asian
47.0,Female,Hispanic or Latino,White
26.0,Female,Not Hispanic or Latino,Black or African American
58.0,Female,Not Hispanic or Latino,White
22.0,Female,Not Hispanic or Latino,Asian
44.0,Male,Not Hispanic or Latino,White
61.0,Male,Not Hispanic or Latino,White
54.0,Male,Not Hispanic or Latino,White
36.0,Female,Not Hispanic or Latino,White
52.0,Male,Not Hispanic or Latino,American Indian or Alaska Native
37.0,Female,Not Hispanic or Latino,White
36.0,Male,Not Hispanic or Latino,White
21.0,Male,Not Hispanic or Latino,Black or African American
41.0,Female,Not Hispanic or Latino,White
29.0,Female,Hispanic or Latino,White
50.0,Female,Not Hispanic or Latino,Black or African American
21.0,Male,Do not wish to say,Black or African American
44.0,Female,Hispanic or Latino,American Indian or Alaska Native
35.0,Female,Not Hispanic or Latino,White
28.0,Female,Not Hispanic or Latino,Black or African American
42.0,Female,Not Hispanic or Latino,Asian
46.0,Male,Not Hispanic or Latino,Black or African American
46.0,Male,Not Hispanic or Latino,White
58.0,Female,Not Hispanic or Latino,White
