subject_ID,subject_index,exclude_Ixr,trial_ID,trial_index,observation_1,observation_2,observation_3,observation_4,observation_5,latent_state,optimal_choice,correct,intertrial_duration,trial_start_time,choice,rt,observation_encoding,observation_encoding_ew,observation_encoding_iw
5e8a69c836bc63718a82cb90,0.0,0.0,320.0,0.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,4.2891,1167.8003,2.0,0.2669,113.0,14,3.0
5e8a69c836bc63718a82cb90,0.0,0.0,200.0,1.0,3.0,3.0,4.0,4.0,2.0,1.0,1.0,1.0,0.4265,1174.4231,1.0,0.2069,2210.0,41,2000.0
5e8a69c836bc63718a82cb90,0.0,0.0,227.0,2.0,2.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,0.5314,1179.5054,1.0,0.1691,4010.0,41,4000.0
5e8a69c836bc63718a82cb90,0.0,0.0,367.0,3.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,0.0,0.8808,1181.8991,1.0,0.2602,122.0,14,2.0
5e8a69c836bc63718a82cb90,0.0,0.0,383.0,4.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,0.4118,1184.7554,2.0,0.2306,212.0,23,2.0
5e8a69c836bc63718a82cb90,0.0,0.0,365.0,5.0,2.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,0.7427,1187.0885,2.0,0.2976,122.0,14,2.0
5e8a69c836bc63718a82cb90,0.0,0.0,428.0,6.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,0.7436,1189.7728,2.0,0.2965,131.0,14,1.0
5e8a69c836bc63718a82cb90,0.0,0.0,91.0,7.0,4.0,2.0,2.0,2.0,3.0,1.0,2.0,0.0,0.5151,1192.4559,2.0,0.2929,1130.0,23,1000.0
5e8a69c836bc63718a82cb90,0.0,0.0,591.0,8.0,2.0,4.0,3.0,3.0,2.0,2.0,1.0,0.0,0.6921,1194.9681,1.0,0.3022,1220.0,32,1000.0
5e8a69c836bc63718a82cb90,0.0,0.0,18.0,9.0,2.0,1.0,2.0,3.0,4.0,1.0,2.0,0.0,0.7794,1197.5893,2.0,0.4266,1121.0,23,1001.0
