Age,Gender,Ethnicity,Race
54.0,Female,Not Hispanic or Latino,Black or African American
32.0,Female,Not Hispanic or Latino,Black or African American
27.0,Male,Not Hispanic or Latino,White
36.0,Male,Not Hispanic or Latino,Asian
65.0,Female,Not Hispanic or Latino,White
55.0,Male,Not Hispanic or Latino,White
32.0,Female,Not Hispanic or Latino,White
64.0,Female,Not Hispanic or Latino,White
37.0,Male,Not Hispanic or Latino,White
43.0,Male,Not Hispanic or Latino,White
41.0,Male,Not Hispanic or Latino,White
41.0,Male,Not Hispanic or Latino,White
54.0,Female,Not Hispanic or Latino,White
27.0,Male,Hispanic or Latino,Other
22.0,Male,Not Hispanic or Latino,White
40.0,Male,Not Hispanic or Latino,"White,Black or African American"
44.0,Female,Hispanic or Latino,Do not wish to say
22.0,Male,Not Hispanic or Latino,White
25.0,Male,Not Hispanic or Latino,Black or African American
19.0,Male,Not Hispanic or Latino,White
31.0,Female,Not Hispanic or Latino,White
39.0,Male,Not Hispanic or Latino,White
46.0,Male,Not Hispanic or Latino,White
53.0,Female,Not Hispanic or Latino,White
26.0,Male,Not Hispanic or Latino,White
26.0,Male,Not Hispanic or Latino,Black or African American
36.0,Male,Not Hispanic or Latino,White
23.0,Female,Not Hispanic or Latino,White
36.0,Female,Not Hispanic or Latino,White
45.0,Male,Not Hispanic or Latino,White
61.0,Female,Not Hispanic or Latino,White
27.0,Male,Not Hispanic or Latino,White
40.0,Male,Not Hispanic or Latino,Black or African American
40.0,Female,Not Hispanic or Latino,Black or African American
29.0,Female,Not Hispanic or Latino,White
33.0,Male,Not Hispanic or Latino,White
42.0,Female,Not Hispanic or Latino,White
52.0,Male,Not Hispanic or Latino,White
33.0,Male,Not Hispanic or Latino,White
24.0,Male,Not Hispanic or Latino,Other
59.0,Female,Not Hispanic or Latino,"American Indian or Alaska Native,White"
25.0,Female,Not Hispanic or Latino,Black or African American
23.0,Male,Hispanic or Latino,Black or African American
34.0,Female,Not Hispanic or Latino,White
23.0,Female,Hispanic or Latino,White
35.0,Female,Not Hispanic or Latino,White
27.0,Male,Not Hispanic or Latino,Black or African American
63.0,Male,Not Hispanic or Latino,White
28.0,Male,Not Hispanic or Latino,Black or African American
27.0,Female,Not Hispanic or Latino,Asian
50.0,Male,Not Hispanic or Latino,White
48.0,Male,Not Hispanic or Latino,White
42.0,Male,Not Hispanic or Latino,White
31.0,Female,Not Hispanic or Latino,White
46.0,Male,Not Hispanic or Latino,White
37.0,Female,Hispanic or Latino,White
19.0,Female,Not Hispanic or Latino,White
24.0,Male,Hispanic or Latino,White
20.0,Female,Not Hispanic or Latino,Black or African American
35.0,Female,Not Hispanic or Latino,Black or African American
35.0,Male,Not Hispanic or Latino,White
28.0,Male,Not Hispanic or Latino,Black or African American
36.0,Male,Not Hispanic or Latino,Black or African American
39.0,Female,Not Hispanic or Latino,White
39.0,Female,Not Hispanic or Latino,White
29.0,Female,Not Hispanic or Latino,Black or African American
31.0,Male,Not Hispanic or Latino,Black or African American
33.0,Male,Not Hispanic or Latino,White
46.0,Male,Not Hispanic or Latino,White
