subject_ID,subject_index
670abd8132c06341bf800b15,0.0
65654bb65a81489784483bf0,1.0
66e8661e0c5e57cda7bf2d39,2.0
6555776099f743902858ed4b,3.0
6711729a71c35dc0418b2ef3,4.0
67248c6473f64cba91aeb26a,5.0
66cd67397d0820f840d8d5c6,6.0
672b7d44ca2394e30e6092ab,7.0
5930c7fdfa699e0001017cc1,8.0
671819681e82990c9080f28d,9.0
629531cb501e6d23d9797050,10.0
661770012a3c83b4bdaff645,11.0
654e3fca4ff8d33df725feae,12.0
61489a7c8f9dfcc9f78b7c36,13.0
66ba1b5273949100f8de1c0e,14.0
568e7144e3ef9e000da20149,15.0
5e837e917441520b9c662931,16.0
66f480695684a9ff1f525bf8,17.0
671cbb68f651eede3c043bc5,18.0
6706eddbdf9669a7c532dee6,19.0
66fb202ecae59771b3c026b9,20.0
6331b9456956d880a1e4632f,21.0
661415341b1fdb1844c6f6a6,22.0
626aa30c05328c5519b86746,23.0
670ba79675ed936b7ccd14d6,24.0
66d5acc304697c2e06d5ffca,25.0
60e7739644eb45bfddedf039,26.0
672221eef8b9710c0eab0c8b,27.0
671fcce446b3e46d24370110,28.0
63cff43985317bac287a325f,29.0
5d63179aa3b94d0001da4bb6,30.0
64143c6c286640f3d1348cf8,31.0
6600214d71ce9b3918064857,32.0
6630db626300f92fb51c5172,33.0
66d5e503d83cb35d8bc7a73c,34.0
5c7cf8b58ca9000001b52f6e,35.0
6729136bb1df1c050249f3e7,36.0
671eca42d22a5b2ad604245e,37.0
5d0a8a22c0fd80001626e38d,38.0
665dd4ef9ba81d499d675de5,39.0
616ef680ab8ca318a227f5ec,40.0
66b19980c3c58c2bba58922e,41.0
5e9f877ee0b0960f3d2b6d30,42.0
66706191120230e6a89ddd0e,43.0
673d6028f83d1741dc6af737,44.0
66b67e59805551bf822ba31a,45.0
671b23ad48265220d2591cb6,46.0
66bad646458ce3651a4b0eec,47.0
6693f1d9fe7d710187a5f8f5,48.0
65ce8604935f026846d91805,49.0
5c28feff5ffcb7000128a541,50.0
671fb466946348aad9a11d10,51.0
62e0532289a4e5d9fedadde1,52.0
6728d8b6eb938d674accb5e7,53.0
5eed3df84fcaa015f3e06637,54.0
667ad18688c9319e6559bdc4,55.0
66b9314371ee40bb9aa1ba97,56.0
608c75be6bf5ca1f23ab35ad,57.0
6505d90ba31f147052647239,58.0
66894dee33c97ad934460664,59.0
66cc9b4ba07560e7df715a98,60.0
67056ad7faf8abddbb45f304,61.0
670d8b142f87173ffe3b4763,62.0
6631df1b998dab2051c4e690,63.0
67038a1c7497dbfeaa1581cd,64.0
65ad47397526e114408593b4,65.0
66ff23b19b9e211878a17f7c,66.0
616cda4e2f5f884cdd46b2eb,67.0
673a8d64bf587131fa065ec5,68.0
