strategy,X,posterior_prob
fully-optimal,14.0,[0.00627001]
equal-weights,14.0,[0.03356594]
ignore-weak,14.0,[0.00990099]
fully-optimal,23.0,[0.01243274 0.01243274 0.01243274 0.01243274]
equal-weights,23.0,[0.03356594 0.03356594 0.03356594 0.03356594]
ignore-weak,23.0,[0.03065343 0.03065343 0.03065343 0.03065343]
fully-optimal,32.0,"[0.02450337 0.02450337 0.02450337 0.02450337 0.02450337 0.02450337
 0.02450337]"
equal-weights,32.0,"[0.03356594 0.03356594 0.03356594 0.03356594 0.03356594 0.03356594
 0.03356594]"
ignore-weak,32.0,"[0.09090909 0.09090909 0.09090909 0.09090909 0.09090909 0.09090909
 0.09090909]"
fully-optimal,41.0,[0.04772672 0.04772672 0.04772672 0.04772672 0.04772672]
equal-weights,41.0,[0.03356594 0.03356594 0.03356594 0.03356594 0.03356594]
ignore-weak,41.0,[0.24025307 0.24025307 0.24025307 0.24025307 0.24025307]
fully-optimal,50.0,[0.09090909 0.09090909]
equal-weights,50.0,[0.03356594 0.03356594]
ignore-weak,50.0,[0.09090909 0.09090909]
fully-optimal,104.0,[0.01560166]
equal-weights,104.0,[0.11752693]
ignore-weak,104.0,[0.00990099]
fully-optimal,113.0,[0.03065343 0.03065343 0.03065343 0.03065343 0.03065343]
equal-weights,113.0,[0.11752693 0.11752693 0.11752693 0.11752693 0.11752693]
ignore-weak,113.0,[0.03065343 0.03065343 0.03065343 0.03065343 0.03065343]
fully-optimal,122.0,"[0.05935094 0.05935094 0.05935094 0.05935094 0.05935094 0.05935094
 0.05935094 0.05935094 0.05935094 0.05935094 0.05935094 0.05935094
 0.05935094]"
equal-weights,122.0,"[0.11752693 0.11752693 0.11752693 0.11752693 0.11752693 0.11752693
 0.11752693 0.11752693 0.11752693 0.11752693 0.11752693 0.11752693
 0.11752693]"
ignore-weak,122.0,"[0.09090909 0.09090909 0.09090909 0.09090909 0.09090909 0.09090909
 0.09090909 0.09090909 0.09090909 0.09090909 0.09090909 0.09090909
 0.09090909]"
