Age,Gender,Ethnicity,Race
32.0,Male,Not Hispanic or Latino,White
45.0,Male,Not Hispanic or Latino,Black or African American
39.0,Female,Not Hispanic or Latino,White
35.0,Male,Not Hispanic or Latino,White
46.0,Male,Not Hispanic or Latino,Black or African American
52.0,Female,Not Hispanic or Latino,White
36.0,Male,Not Hispanic or Latino,White
37.0,Female,Not Hispanic or Latino,White
25.0,Female,Not Hispanic or Latino,Black or African American
61.0,Male,Not Hispanic or Latino,Other
51.0,Male,Not Hispanic or Latino,White
33.0,Male,Not Hispanic or Latino,White
32.0,Male,Not Hispanic or Latino,White
21.0,Male,Not Hispanic or Latino,Black or African American
42.0,Male,Not Hispanic or Latino,White
54.0,Female,Hispanic or Latino,White
29.0,Do not wish to say,Hispanic or Latino,White
33.0,Female,Not Hispanic or Latino,White
39.0,Female,Not Hispanic or Latino,White
35.0,Do not wish to say,Not Hispanic or Latino,White
56.0,Female,Not Hispanic or Latino,White
30.0,Male,Not Hispanic or Latino,Black or African American
59.0,Female,Not Hispanic or Latino,White
33.0,Male,Not Hispanic or Latino,Black or African American
22.0,Male,Hispanic or Latino,Black or African American
36.0,Male,Not Hispanic or Latino,White
45.0,Male,Not Hispanic or Latino,Black or African American
41.0,Do not wish to say,Not Hispanic or Latino,White
23.0,Male,Not Hispanic or Latino,White
60.0,Female,Not Hispanic or Latino,White
29.0,Female,Hispanic or Latino,Other
27.0,Female,Not Hispanic or Latino,White
40.0,Male,Not Hispanic or Latino,White
61.0,Male,Not Hispanic or Latino,White
38.0,Male,Not Hispanic or Latino,White
27.0,Female,Not Hispanic or Latino,White
38.0,Female,Not Hispanic or Latino,Black or African American
30.0,Female,Not Hispanic or Latino,White
39.0,Female,Not Hispanic or Latino,White
56.0,Female,Not Hispanic or Latino,White
33.0,Male,Not Hispanic or Latino,White
31.0,Male,Not Hispanic or Latino,White
47.0,Male,Hispanic or Latino,Other
48.0,Male,Not Hispanic or Latino,White
24.0,Male,Hispanic or Latino,Black or African American
18.0,Male,Not Hispanic or Latino,White
49.0,Male,Not Hispanic or Latino,White
26.0,Male,Not Hispanic or Latino,"Asian,Black or African American"
33.0,Female,Not Hispanic or Latino,White
23.0,Male,Not Hispanic or Latino,Black or African American
30.0,Male,Not Hispanic or Latino,White
22.0,Male,Not Hispanic or Latino,White
57.0,Male,Not Hispanic or Latino,White
22.0,Male,Not Hispanic or Latino,Asian
34.0,Male,Not Hispanic or Latino,White
28.0,Male,Hispanic or Latino,White
32.0,Female,Not Hispanic or Latino,White
46.0,Female,Not Hispanic or Latino,White
22.0,Male,Hispanic or Latino,White
52.0,Female,Not Hispanic or Latino,Black or African American
27.0,Male,Not Hispanic or Latino,Other
33.0,Male,Not Hispanic or Latino,White
49.0,Male,Not Hispanic or Latino,Asian
49.0,Male,Not Hispanic or Latino,White
43.0,Male,Not Hispanic or Latino,White
