strategy,X,posterior_prob
fully-optimal,14.0,0.006270012341433843
equal-weights,14.0,0.03356593969334888
ignore-weak,14.0,0.009900990099009905
fully-optimal,23.0,0.012432735254442405
equal-weights,23.0,0.03356593969334889
ignore-weak,23.0,0.030653430031715515
fully-optimal,32.0,0.024503367550336004
equal-weights,32.0,0.03356593969334889
ignore-weak,32.0,0.09090909090909093
fully-optimal,41.0,0.04772672103420392
equal-weights,41.0,0.03356593969334888
ignore-weak,41.0,0.24025307335204216
fully-optimal,50.0,0.09090909090909091
equal-weights,50.0,0.03356593969334889
ignore-weak,50.0,0.09090909090909091
fully-optimal,104.0,0.015601662241829605
equal-weights,104.0,0.11752693448398069
ignore-weak,104.0,0.009900990099009905
fully-optimal,113.0,0.030653430031715518
equal-weights,113.0,0.11752693448398069
ignore-weak,113.0,0.030653430031715515
fully-optimal,122.0,0.05935094310276761
equal-weights,122.0,0.11752693448398072
ignore-weak,122.0,0.09090909090909093
fully-optimal,131.0,0.11181576977811696
equal-weights,131.0,0.11752693448398069
ignore-weak,131.0,0.24025307335204216
fully-optimal,140.0,0.20076000891310175
equal-weights,140.0,0.11752693448398069
ignore-weak,140.0,0.20076000891310175
fully-optimal,203.0,0.07358755611757355
equal-weights,203.0,0.33804462216539505
ignore-weak,203.0,0.030653430031715515
fully-optimal,212.0,0.13680688860321003
equal-weights,212.0,0.33804462216539494
ignore-weak,212.0,0.09090909090909093
fully-optimal,221.0,0.24025307335204216
equal-weights,221.0,0.33804462216539494
ignore-weak,221.0,0.24025307335204216
fully-optimal,230.0,0.38686317984685703
equal-weights,230.0,0.33804462216539505
ignore-weak,230.0,0.38686317984685703
fully-optimal,302.0,0.28474724895080145
equal-weights,302.0,0.661955377834605
ignore-weak,302.0,0.09090909090909093
fully-optimal,311.0,0.44268836623770724
equal-weights,311.0,0.661955377834605
ignore-weak,311.0,0.24025307335204216
fully-optimal,320.0,0.613136820153143
equal-weights,320.0,0.661955377834605
ignore-weak,320.0,0.613136820153143
fully-optimal,401.0,0.6661394245831221
equal-weights,401.0,0.8824730655160193
ignore-weak,401.0,0.24025307335204216
fully-optimal,410.0,0.7992399910868982
equal-weights,410.0,0.8824730655160193
ignore-weak,410.0,0.7992399910868982
fully-optimal,500.0,0.9090909090909091
equal-weights,500.0,0.9664340603066511
ignore-weak,500.0,0.9090909090909091
fully-optimal,1013.0,0.0593509431027676
equal-weights,1013.0,0.11752693448398069
ignore-weak,1013.0,0.09090909090909093
fully-optimal,1022.0,0.11181576977811696
equal-weights,1022.0,0.11752693448398072
ignore-weak,1022.0,0.24025307335204218
fully-optimal,1031.0,0.20076000891310178
equal-weights,1031.0,0.11752693448398069
ignore-weak,1031.0,0.5
fully-optimal,1040.0,0.333860575416878
equal-weights,1040.0,0.11752693448398069
ignore-weak,1040.0,0.7597469266479578
fully-optimal,1103.0,0.13680688860321005
equal-weights,1103.0,0.33804462216539505
ignore-weak,1103.0,0.09090909090909093
fully-optimal,1112.0,0.24025307335204216
equal-weights,1112.0,0.33804462216539494
ignore-weak,1112.0,0.24025307335204218
fully-optimal,1121.0,0.3868631798468569
equal-weights,1121.0,0.33804462216539494
ignore-weak,1121.0,0.5
fully-optimal,1130.0,0.5573116337622928
equal-weights,1130.0,0.33804462216539505
ignore-weak,1130.0,0.7597469266479578
fully-optimal,1202.0,0.44268836623770724
equal-weights,1202.0,0.661955377834605
ignore-weak,1202.0,0.24025307335204218
fully-optimal,1211.0,0.613136820153143
equal-weights,1211.0,0.661955377834605
ignore-weak,1211.0,0.5
fully-optimal,1220.0,0.7597469266479578
equal-weights,1220.0,0.661955377834605
ignore-weak,1220.0,0.7597469266479578
fully-optimal,1301.0,0.7992399910868982
equal-weights,1301.0,0.8824730655160192
ignore-weak,1301.0,0.5
fully-optimal,1310.0,0.888184230221883
equal-weights,1310.0,0.8824730655160192
ignore-weak,1310.0,0.7597469266479578
fully-optimal,1400.0,0.952273278965796
equal-weights,1400.0,0.9664340603066511
ignore-weak,1400.0,0.7597469266479578
fully-optimal,2012.0,0.386863179846857
equal-weights,2012.0,0.33804462216539494
ignore-weak,2012.0,0.5
fully-optimal,2021.0,0.5573116337622926
equal-weights,2021.0,0.33804462216539494
ignore-weak,2021.0,0.7597469266479577
fully-optimal,2030.0,0.7152527510491986
equal-weights,2030.0,0.33804462216539505
ignore-weak,2030.0,0.9090909090909091
fully-optimal,2102.0,0.6131368201531431
equal-weights,2102.0,0.661955377834605
ignore-weak,2102.0,0.5
fully-optimal,2111.0,0.7597469266479578
equal-weights,2111.0,0.661955377834605
ignore-weak,2111.0,0.7597469266479577
fully-optimal,2120.0,0.8631931113967899
equal-weights,2120.0,0.661955377834605
ignore-weak,2120.0,0.9090909090909091
fully-optimal,2201.0,0.888184230221883
equal-weights,2201.0,0.8824730655160193
ignore-weak,2201.0,0.7597469266479577
fully-optimal,2210.0,0.9406490568972324
