Age,Gender,Ethnicity,Race
54.0,Female,Not Hispanic or Latino,Black or African American
33.0,Female,Not Hispanic or Latino,White
33.0,Male,Not Hispanic or Latino,White
27.0,Male,Not Hispanic or Latino,White
42.0,Male,Not Hispanic or Latino,Black or African American
40.0,Male,Hispanic or Latino,Black or African American
28.0,Male,Not Hispanic or Latino,White
60.0,Male,Not Hispanic or Latino,White
55.0,Female,Not Hispanic or Latino,White
32.0,Female,Not Hispanic or Latino,Black or African American
27.0,Female,Not Hispanic or Latino,White
22.0,Female,Not Hispanic or Latino,Black or African American
25.0,Male,Not Hispanic or Latino,Black or African American
37.0,Female,Not Hispanic or Latino,White
35.0,Female,Not Hispanic or Latino,Asian
49.0,Female,Hispanic or Latino,Black or African American
40.0,Male,Not Hispanic or Latino,White
33.0,Male,Not Hispanic or Latino,White
49.0,Female,Not Hispanic or Latino,White
44.0,Female,Not Hispanic or Latino,White
25.0,Female,Not Hispanic or Latino,White
23.0,Male,Not Hispanic or Latino,Black or African American
60.0,Female,Not Hispanic or Latino,White
52.0,Male,Not Hispanic or Latino,Black or African American
32.0,Male,Not Hispanic or Latino,Black or African American
40.0,Female,Not Hispanic or Latino,White
28.0,Male,Not Hispanic or Latino,White
30.0,Male,Not Hispanic or Latino,Asian
44.0,Female,Not Hispanic or Latino,White
49.0,Male,Not Hispanic or Latino,White
38.0,Male,Not Hispanic or Latino,White
28.0,Female,Not Hispanic or Latino,Asian
26.0,Female,Not Hispanic or Latino,White
41.0,Female,Not Hispanic or Latino,White
36.0,Male,Not Hispanic or Latino,"Asian,White"
39.0,Male,Not Hispanic or Latino,White
28.0,Female,Not Hispanic or Latino,White
42.0,Male,Not Hispanic or Latino,White
35.0,Male,Not Hispanic or Latino,White
25.0,Female,Not Hispanic or Latino,Black or African American
31.0,Male,Not Hispanic or Latino,Asian
43.0,Male,Not Hispanic or Latino,Black or African American
52.0,Male,Not Hispanic or Latino,White
39.0,Male,Not Hispanic or Latino,Black or African American
44.0,Male,Not Hispanic or Latino,"American Indian or Alaska Native,White"
47.0,Female,Hispanic or Latino,White
28.0,Male,Not Hispanic or Latino,White
65.0,Male,Not Hispanic or Latino,White
31.0,Male,Not Hispanic or Latino,White
34.0,Male,Not Hispanic or Latino,White
27.0,Male,Hispanic or Latino,Other
49.0,Female,Not Hispanic or Latino,White
51.0,Female,Not Hispanic or Latino,White
22.0,Female,Not Hispanic or Latino,Asian
34.0,Female,Not Hispanic or Latino,White
51.0,Female,Not Hispanic or Latino,White
23.0,Female,Not Hispanic or Latino,White
51.0,Male,Not Hispanic or Latino,White
51.0,Male,Not Hispanic or Latino,White
27.0,Male,Not Hispanic or Latino,White
40.0,Female,Hispanic or Latino,Black or African American
25.0,Male,Not Hispanic or Latino,White
22.0,Female,Not Hispanic or Latino,White
43.0,Female,Do not wish to say,Black or African American
29.0,Female,Not Hispanic or Latino,White
42.0,Female,Not Hispanic or Latino,Black or African American
31.0,Male,Not Hispanic or Latino,White
28.0,Male,Not Hispanic or Latino,Black or African American
34.0,Male,Hispanic or Latino,White
