"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","rt","url","response","question_order","view_history","success","timeout","failed_images","failed_audio","failed_video","stimulus","block","block_rep","trial_number","jar","bead","previous_bead","choice","correct","lowH_score","total_bonus"
"pavlovia","0","1399","0.0-0.0","65f0bee41d562a50feaab429","6662009ae78f21dd82fcd179","6662044439f9c1be10ab0234","","","","","","","","","","","","","","","","","","","","",""
"external-html","1","151672","0.0-1.0-0.0","65f0bee41d562a50feaab429","6662009ae78f21dd82fcd179","6662044439f9c1be10ab0234","150155","new_consent.html","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","2","159392","0.0-1.0-1.0","65f0bee41d562a50feaab429","6662009ae78f21dd82fcd179","6662044439f9c1be10ab0234","7714","","{""Q0"":""Female"",""Q1"":""Black or African American""}","[0,1]","","","","","","","","","","","","","","","","",""
"survey-text","3","163825","0.0-1.0-2.0","65f0bee41d562a50feaab429","6662009ae78f21dd82fcd179","6662044439f9c1be10ab0234","4430","","{""Q0"":""53""}","","","","","","","","","","","","","","","","","",""
"instructions","4","168415","0.0-2.0","65f0bee41d562a50feaab429","6662009ae78f21dd82fcd179","6662044439f9c1be10ab0234","4486","","","","[{""page_index"":0,""viewing_time"":4485}]","","","","","","","","","","","","","","","",""
"preload","5","169387","0.0-3.0-0.0","65f0bee41d562a50feaab429","6662009ae78f21dd82fcd179","6662044439f9c1be10ab0234","","","","","","true","false","[]","[]","[]","","","","","","","","","","",""
"instructions","6","388253","0.0-3.0-1.0","65f0bee41d562a50feaab429","6662009ae78f21dd82fcd179","6662044439f9c1be10ab0234","218866","","","","[{""page_index"":0,""viewing_time"":31140},{""page_index"":1,""viewing_time"":15182},{""page_index"":2,""viewing_time"":9416},{""page_index"":3,""viewing_time"":7098},{""page_index"":4,""viewing_time"":25706},{""page_index"":5,""viewing_time"":37222},{""page_index"":6,""viewing_time"":16870},{""page_index"":7,""viewing_time"":11309},{""page_index"":8,""viewing_time"":17654},{""page_index"":9,""viewing_time"":25535},{""page_index"":10,""viewing_time"":14560},{""page_index"":11,""viewing_time"":7174}]","","","","","","","","","","","","","","","",""
"html-button-response","7","395475","0.0-3.0-2.0-0.0-0.0","65f0bee41d562a50feaab429","6662009ae78f21dd82fcd179","6662044439f9c1be10ab0234","7221","","1","","","","","","","","<div align=center>Your goal is to predict…?<br><br></div>","","","","","","","","","",""
"html-button-response","8","407548","0.0-3.0-2.0-1.0-0.0","65f0bee41d562a50feaab429","6662009ae78f21dd82fcd179","6662044439f9c1be10ab0234","9769","","2","","","","","","","","<div align=center>In the jar with mostly white beads, there are ___% white beads and ___% black beads?<br><br></div>","","","","","","","","","",""
"html-button-response","9","423703","0.0-3.0-2.0-2.0-0.0","65f0bee41d562a50feaab429","6662009ae78f21dd82fcd179","6662044439f9c1be10ab0234","14585","","0","","","","","","","","<div align=center>When there is a 1% probability that the jars will switch, the next bead will most likely be drawn from the…<br><br></div>","","","","","","","","","",""
